sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
192,455;156;;180rounds;Yes;No;3;0,70799;0,76622;0,03677;0,09365;2,22421;ParsAgent2@105;ParsCat@106;ParsAgent2@107;0.7499993500000001;0.7662211145849988;0.7079874810783764;0.7499993500000001;0.7662211145849988;0.7079874810783764;party4_utility.xml;party3_utility.xml;party2_utility.xml
4,404;172;;180rounds;Yes;No;3;0,54762;0,97619;0,00000;0,35768;2,13584;ParsCat@120;ParsCat@121;ParsAgent2@122;0.5476186000000001;0.6120294061545479;0.9761884907982836;0.5476186000000001;0.6120294061545479;0.9761884907982836;party4_utility.xml;party3_utility.xml;party2_utility.xml
0,976;145;;180rounds;Yes;No;3;0,74083;0,79762;0,00000;0,09663;2,31515;Ngent@123;Ngent@124;ParsCat@125;0.79761835;0.7767005001446213;0.7408336480570514;0.79761835;0.7767005001446213;0.7408336480570514;party4_utility.xml;party3_utility.xml;party2_utility.xml
181,083;163;;180rounds;Yes;No;3;0,58333;0,85959;0,00000;0,17682;2,23978;ParsAgent2@126;Ngent@127;ParsCat@128;0.5833328;0.7968633438915754;0.8595877376398615;0.5833328;0.7968633438915754;0.8595877376398615;party4_utility.xml;party3_utility.xml;party2_utility.xml
0,989;173;;180rounds;Yes;No;3;0,66452;0,91032;0,00000;0,12525;2,32484;ParsCat@138;Ngent@139;ParsCat@140;0.7499993;0.9103208951175262;0.6645211426556008;0.7499993;0.9103208951175262;0.6645211426556008;party4_utility.xml;party3_utility.xml;party2_utility.xml
9,133;157;;180rounds;Yes;No;3;0,72619;0,83763;0,00000;0,00000;2,32752;Ngent@141;ParsAgent2@142;ParsCat@143;0.7261898;0.8376318329087284;0.7637017446244312;0.7261898;0.8376318329087284;0.7637017446244312;party4_utility.xml;party3_utility.xml;party2_utility.xml
196,543;161;;180rounds;Yes;No;3;0,58333;0,87605;0,00000;0,20349;2,20548;ParsAgent2@147;ParsAgent2@148;ParsCat@149;0.5833328500000001;0.7460922880531652;0.8760514919327387;0.5833328500000001;0.7460922880531652;0.8760514919327387;party4_utility.xml;party3_utility.xml;party2_utility.xml
8,465;178;;180rounds;Yes;No;3;0,71602;0,80211;0,00000;0,06405;2,26813;ParsCat@159;ParsAgent2@160;ParsCat@161;0.74999935;0.8021067128417655;0.7160194082249517;0.74999935;0.8021067128417655;0.7160194082249517;party4_utility.xml;party3_utility.xml;party2_utility.xml
0,778;168;;180rounds;Yes;No;3;0,66876;0,89286;0,00000;0,21028;2,31307;Ngent@162;ParsCat@163;ParsCat@164;0.89285635;0.7514519900742164;0.6687591642433374;0.89285635;0.7514519900742164;0.6687591642433374;party4_utility.xml;party3_utility.xml;party2_utility.xml
180,420;161;;180rounds;Yes;No;3;0,59524;0,85225;0,00000;0,15867;2,29877;ParsAgent2@165;ParsCat@166;ParsCat@167;0.59523755;0.8512769996675457;0.8522529669934003;0.59523755;0.8512769996675457;0.8522529669934003;party4_utility.xml;party3_utility.xml;party2_utility.xml
0,395;173;;180rounds;Yes;No;3;0,53571;0,98352;0,00000;0,37736;2,11646;ParsCat@168;ParsCat@169;ParsCat@170;0.53571385;0.5972259498311124;0.9835232614447449;0.53571385;0.5972259498311124;0.9835232614447449;party4_utility.xml;party3_utility.xml;party2_utility.xml
