sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
54,003;35006;;60s;Yes;No;3;0,42986;0,83659;0,10055;0,52203;1,95312;RandomParty@36;RandomParty2@37;Group1@38;0.6866666666666668;0.42986297082462765;0.8365868898455552;0.6866666666666668;0.42986297082462765;0.8365868898455552;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,006;24424;;60s;Yes;No;3;0,43395;0,88437;0,06200;0,53208;1,99999;RandomParty2@39;RandomParty@40;Group1@41;0.6816666666666668;0.4339541130138635;0.8843703851424531;0.6816666666666668;0.4339541130138635;0.8843703851424531;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,005;28968;;60s;Yes;No;3;0,49975;0,78833;0,11695;0,43277;1,94744;Group1@42;RandomParty@43;RandomParty2@44;0.7883333333333332;0.4997515853096497;0.6593501320167013;0.7883333333333332;0.4997515853096497;0.6593501320167013;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,003;33874;;60s;Yes;No;3;0,68753;0,76434;0,09362;0,17229;2,19436;RandomParty@45;Group1@46;RandomParty2@47;0.7425;0.7643395831284985;0.6875252038638495;0.7425;0.7643395831284985;0.6875252038638495;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,003;32698;;60s;Yes;No;3;0,69241;0,85649;0,00000;0,09921;2,39723;RandomParty2@48;Group1@49;RandomParty@50;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.8483333333333334;0.8564909885811369;0.6924080946242358;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,004;36162;;60s;Yes;No;3;0,42938;0,78333;0,07229;0,50087;1,97146;Group1@51;RandomParty2@52;RandomParty@53;0.7833333333333333;0.42938163538893903;0.7587421305839824;0.7833333333333333;0.42938163538893903;0.7587421305839824;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,001;34830;;60s;Yes;No;3;0,48274;0,82799;0,14575;0,52132;1,84907;RandomParty@54;RandomParty2@55;Group1@56;0.5383333333333333;0.48274268626751987;0.827992238906495;0.5383333333333333;0.48274268626751987;0.827992238906495;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,003;35153;;60s;Yes;No;3;0,45160;0,92202;0,03393;0,54630;1,98778;RandomParty2@57;RandomParty@58;Group1@59;0.6141666666666666;0.4515964064193423;0.9220160941350002;0.6141666666666666;0.4515964064193423;0.9220160941350002;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,002;35114;;60s;Yes;No;3;0,47747;0,83250;0,09362;0,46701;1,91644;Group1@60;RandomParty@61;RandomParty2@62;0.8324999999999999;0.47747300496568246;0.6064719889793383;0.8324999999999999;0.47747300496568246;0.6064719889793383;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,001;35116;;60s;Yes;No;3;0,69241;0,85649;0,00000;0,09921;2,39723;RandomParty@63;Group1@64;RandomParty2@65;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.8483333333333334;0.8564909885811369;0.6924080946242358;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,001;35252;;60s;Yes;No;3;0,57917;0,88897;0,04224;0,21026;2,16925;RandomParty2@66;Group1@67;RandomParty@68;0.5791666666666666;0.8889741989109117;0.7011096694698178;0.5791666666666666;0.8889741989109117;0.7011096694698178;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,002;34720;;60s;Yes;No;3;0,27790;0,81333;0,12632;0,66073;1,69757;Group1@69;RandomParty2@70;RandomParty@71;0.8133333333333334;0.2778976944932623;0.6063381208771788;0.8133333333333334;0.2778976944932623;0.6063381208771788;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,005;33713;;60s;Yes;No;3;0,28056;0,87010;0,21749;0,76818;1,55233;RandomParty@72;RandomParty2@73;Group1@74;0.4016666666666666;0.2805569122973426;0.8701039637354938;0.4016666666666666;0.2805569122973426;0.8701039637354938;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,003;33187;;60s;Yes;No;3;0,43373;0,85227;0,13986;0,60097;1,75767;RandomParty2@75;RandomParty@76;Group1@77;0.4716666666666667;0.4337253548638589;0.852274493851674;0.4716666666666667;0.4337253548638589;0.852274493851674;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,003;33012;;60s;Yes;No;3;0,58246;0,81056;0,04831;0,35842;2,17135;Group1@78;RandomParty@79;RandomParty2@80;0.7783333333333333;0.5824576205166241;0.8105573651816902;0.7783333333333333;0.5824576205166241;0.8105573651816902;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,003;32515;;60s;Yes;No;3;0,59674;0,69869;0,19673;0,28305;1,96793;RandomParty@81;Group1@82;RandomParty2@83;0.6725;0.69869077026364;0.5967404547653536;0.6725;0.69869077026364;0.5967404547653536;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,003;33854;;60s;Yes;No;3;0,69000;0,85225;0,00000;0,18084;2,39353;RandomParty2@84;Group1@85;RandomParty@86;0.69;0.8522529669934003;0.8512769996675457;0.69;0.8522529669934003;0.8512769996675457;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,002;33040;;60s;Yes;No;3;0,40317;0,78500;0,11142;0,52656;1,87083;Group1@87;RandomParty2@88;RandomParty@89;0.785;0.4031684357941052;0.6826661318366544;0.785;0.4031684357941052;0.6826661318366544;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,006;34635;;60s;Yes;No;3;0,63167;0,89984;0,01533;0,37122;2,18818;RandomParty@90;RandomParty2@91;Group1@92;0.6566666666666666;0.6316749756769258;0.8998415095579037;0.6566666666666666;0.6316749756769258;0.8998415095579037;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,001;33424;;60s;Yes;No;3;0,23224;0,91184;0,21989;0,79056;1,60908;RandomParty2@93;RandomParty@94;Group1@95;0.46499999999999997;0.2322367373937958;0.9118387078778729;0.46499999999999997;0.2322367373937958;0.9118387078778729;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,003;31382;;60s;Yes;No;3;0,57131;0,81000;0,07890;0,26721;2,08770;Group1@96;RandomParty@97;RandomParty2@98;0.81;0.7063931443215073;0.5713097716686925;0.81;0.7063931443215073;0.5713097716686925;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,003;28479;;60s;Yes;No;3;0,74083;0,83763;0,00000;0,20863;2,34217;RandomParty@99;Group1@100;RandomParty2@101;0.7408333333333333;0.7637017446244312;0.8376318329087284;0.7408333333333333;0.7637017446244312;0.8376318329087284;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,005;30340;;60s;Yes;No;3;0,64582;0,71638;0,16802;0,24775;2,04137;RandomParty2@102;Group1@103;RandomParty@104;0.6791666666666667;0.71638218264677;0.6458247915341234;0.6791666666666667;0.71638218264677;0.6458247915341234;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,003;30289;;60s;Yes;No;3;0,51421;0,83583;0,07320;0,42065;2,01605;Group1@105;RandomParty2@106;RandomParty@107;0.8358333333333333;0.5142074033726536;0.66600532829388;0.8358333333333333;0.5142074033726536;0.66600532829388;party1_utility.xml;party2_utility.xml;party3_utility.xml
